		assetNameId	assetName	assetSymbol	marketList	assetType	yahooNordetInterconId
	Avanza Bank Holding AB	104	Avanza Bank Holding	AZA.ST			0
	B&B TOOLS AB ser. B	105	B&B TOOLS B	BBTO-B.ST			0
	Beijer Alma AB ser. B	106	Beijer Alma B	BEIA-B.ST			0
	Beijer AB, G & L ser. B	107	Beijer B	BEIJ-B.ST			0
	BioGaia AB ser. B	108	BioGaia B	BIOG-B.ST			0
	Black Earth Farming SDB	109	Black Earth Farming	BEF-SDB.ST			0
	BlackPearl Resources SDB	110	BlackPearl Resources SDB	PXXS-SDB.ST			0
	Bure Equity AB	111	Bure Equity	BURE.ST			0
	Byggmax Group AB	112	Byggmax Group	BMAX.ST			0
	CDON Group AB	113	CDON Group	CDON.ST			0
	Clas Ohlson AB ser. B	114	Clas Ohlson B	CLAS-B.ST			0
	Cloetta AB ser. B	115	Cloetta B	CLA-B.ST			0
	Concentric AB	116	Concentric	COIC.ST			0
	Corem Property Group AB	117	Corem Property Group	CORE.ST			0
	Corem Property Group Pref	118	Corem Property Group Pref	CORE-PREF.ST			0
	Creades AB A	119	Creades A	CRED-A.ST			0
	Diös Fastigheter AB	120	Diös Fastigheter	DIOS.ST			0
	Duni AB	121	Duni	DUNI.ST			0
	East Capital Explorer AB	122	East Capital Explorer	ECEX.ST			0
	Eniro AB	123	Eniro	ENRO.ST			0
	Eniro AB pref	124	Eniro pref	ENRO-PREF.ST			0
	EnQuest PLC	125	EnQuest PLC	ENQ.ST			0
	Fagerhult, AB	126	Fagerhult	FAG.ST			0
	Fast Partner AB	127	Fast Partner	FPAR.ST			0
	Fast Partner AB Pref	128	Fast Partner Pref	FPAR-PREF.ST			0
	Fast. Balder B	129	Fast. Balder B	BALD-B.ST			0
	Fenix Outdoor AB ser. B	130	Fenix Outdoor B	FIX-B.ST			0
	Gunnebo AB	131	Gunnebo	GUNN.ST			0
	Haldex AB	132	Haldex	HLDX.ST			0
	HEBA B	133	FAST. HEBA B	HEBA-B.ST			0
	HEXPOL AB ser. B	134	HEXPOL B	HPOL-B.ST			0
	HiQ International AB	135	HiQ International	HIQ.ST			0
	Indutrade AB	136	Indutrade	INDT.ST			0
	JM AB	137	JM	JM.ST			0
	KappAhl AB	138	KappAhl	KAHL.ST			0
	Klövern AB	139	Klövern	KLOV.ST			0
	Kungsleden AB	140	Kungsleden	KLED.ST			0
	Lindab International AB	141	Lindab International	LIAB.ST			0
	Loomis AB ser. B	142	Loomis B	LOOM-B.ST			0
	Medivir AB ser. B	143	Medivir B	MVIR-B.ST			0
	Mekonomen AB	144	Mekonomen	MEKO.ST			0
	Net Entertainment NE B	145	Net Entertainment NE B	NET-B.ST			0
	Nobia AB	146	Nobia	NOBI.ST			0
	Nolato AB ser. B	147	Nolato B	NOLA-B.ST			0
	Nordnet AB ser. B	148	Nordnet B	NN-B.ST			0
	Proffice AB ser. B	149	Proffice B	PROE-B.ST			0
	Rezidor Hotel Group AB	150	Rezidor Hotel Group	REZT.ST			0
	Sagax AB pref	151	Sagax pref	SAGA-PREF.ST			0
	SAS AB	152	SAS	SAS.ST			0
	SkiStar AB ser. B	154	SkiStar B	SKIS-B.ST			0
	SWECO AB ser. A	155	SWECO A	SWEC-A.ST			0
	SWECO AB ser. B	156	SWECO B	SWEC-B.ST			0
	Swedish Orphan Biovitrum	157	Swedish Orphan Biovitrum	SOBI.ST			0
	Swedol AB ser. B	158	Swedol B	SWOL-B.ST			0
	Systemair AB	159	Systemair	SYSR.ST			0
