Rezidor Hotel Group AB|REZT.ST|
Sagax AB pref|SAGA-PREF.ST|
SAS AB|SAS.ST|
SkiStar AB ser. B|SKIS-B.ST|
SWECO AB ser. A|SWEC-A.ST|
SWECO AB ser. B|SWEC-B.ST|
Swedish Orphan Biovitrum|SOBI.ST|
Swedol AB ser. B|SWOL-B.ST|
Systemair AB|SYSR.ST|
Tethys Oil AB|TETY.ST|
Transmode AB|TRMO.ST|
Tribona AB|TRI.ST|
Unibet Group plc|UNIB-SDB.ST|
Wihlborgs Fastigheter AB|WIHL.ST|
ÅF AB ser. B|AF-B.ST|
Öresund|Öresund|
Klövern AB pref|KLOV-PREF.ST|
Fast. Balder pref|BALD-PREF.ST|
Securitas AB ser. B|SECU-B.ST|
Sanitec Oyj|SNTC.ST|
Nokia Corporation|NOKI-SEK.ST|
Platzer Fastigheter Holding B|PLAZ-B.ST|
Ratos AB pref|RATO-PREF.ST|
