Stockname|Risk|Return|startDate|endDate|
|||2015-11-04|2016-11-04|
Bilia A|11.7|9.0|||
Ericsson Telephone Company|10.9|-18.1|||
Fortum Oyj|9.7|1.5|||
Holmen AB|9.1|7.4|||
ICA Gruppen |5.9|-3.8|||
Industrial & Financial Sys. B|2.9|8.9|||
IND.VAERDEN -A-|6.4|-7.3|||
Intrum Justitia|4.1|-1.6|||
Investment AB Latour|7.8|2.4|||
New Wave B|18.6|0.7|||
SCA Sv Cellulosa|4.7|-0.1|||
Swedbank AB|7.0|-3.9|||
Tele2 AB|5.9|-11.9|||
