Stockname|Risk|Return|startDate|endDate|
|||2015-11-03|2016-11-03|
Bilia A|11.7|9.3|||
Ericsson Telephone Company|10.9|-16.1|||
Fortum Oyj|9.5|4.4|||
Holmen AB|9.1|7.9|||
ICA Gruppen |6.0|-2.7|||
Industrial & Financial Sys. B|2.9|10.1|||
IND.VAERDEN -A-|6.4|-6.2|||
Intrum Justitia|4.1|-1.6|||
Investment AB Latour|7.8|3.9|||
New Wave B|18.3|1.9|||
SCA Sv Cellulosa|4.6|1.4|||
Swedbank AB|5.0|-6.3|||
Tele2 AB|5.9|-9.7|||
