Stockname|Risk|Return|startDate|endDate|
|||2015-11-01|2016-11-01|
Bilia A|11.7|9.5|||
Ericsson Telephone Company|10.9|-13.8|||
Fortum Oyj|9.5|4.6|||
Holmen AB|9.1|7.6|||
ICA Gruppen |6.0|-2.4|||
Industrial & Financial Sys. B|3.0|10.4|||
IND.VAERDEN -A-|6.4|-6.7|||
Intrum Justitia|4.1|-3.3|||
Investment AB Latour|7.8|7.0|||
New Wave B|18.2|2.4|||
SCA Sv Cellulosa|4.6|1.8|||
Swedbank AB|5.0|-6.8|||
Tele2 AB|5.9|-8.8|||
