BIOP.ST	BioPhausia AB	0
BIOT.ST	BIOTAGE	0
BLIN.ST	Biolin Ab	0
BLIT.ST	ECO BYGGOLIT	0
BMIM.ST	B&M IMPEX	0
BOL.ST	Boliden AB	0
BOL3H-145SWE.ST	BOL/SWEDBK WTS 13	0
BOL4B-135SWE.ST	BOL/SWEDBK WTS 14	0
BOL4K-145SWE.ST	BOL/SWEDBK WTS 14	0
BONG.ST	Bong Ljungdahl AB	0
BORE.ST	Bore Tech AB	0
BORG-IL.ST	BJORN BO RED PFD	0
BORG.ST	Bjorn Borg AB	0
BOUL.ST	BOULE DIAGNOSTICS	0
BRE2.ST	BREDBAND2 I SKANDI	0
BRG-B.ST	Bergs Timber AB	0
BRG-BTA-B.ST	BERGS TIMB B I12/1	0
BRG-TR-B.ST	BERGS TIMBER RTS 12	0
BRIN-B.ST	Brinova Fastigheter AB	0
BRIO-B.ST	Brio AB	0
BRIOB.ST	Brio AB	0
BRO-B.ST	Brostrom AB	0
BROB.ST	Brostrom AB	0
BTS-B.ST	BTS Group AB	0
BURE.ST	Bure Equity AB	0
BVT.ST	Biovitrum AB	0
BWL.ST	Bringwell International AB	0
CAMP.ST	NCS NORDIC CAMPING	0
CAOI.ST	CAUCASUS OIL	0
CAPE.ST	CAPERIO HOLDING	0
CAPL.ST	CATERING PL I SKAND	0
CARD.ST	Cardo AB	0
CAST.ST	Castellum AB	0
CAT-A.ST	Catella AB	0
CAT-B.ST	Catella AB	0
CATE.ST	Catena AB	0
CATH-B.ST	CATECH -B-	0
CBA.ST	CYBAERO	0
CCOR-B.ST	Concordia Maritime AB	0
CCORB.ST	Concordia Maritime AB	0
CE-BTA-2.ST	CORTUS ENERGYI13/2	0
CE.ST	CORTUS ENERGY	0
CEAB-TR.ST	COMM ENT SVE RTS	0
CEAB.ST	COMM ENT SVENSKA	0
CEFO-B.ST	CEFOUR -B-	0
CEFO-BTA-B.ST	CEFOUR -B- I12	0
CEVI.ST	CELLAVISION	0
CFAB.ST	Fazer Konfektyr Service AB	0
CHAL-B.ST	Challenger Mobile AB	0
CHAL-BTA-B.ST	CHALLENGMOB -B- I12	0
CHEM-B.ST	Biotech-IgG AB	0
CHER-B.ST	CHERRYFORETAGEN -B-	0
CI-B.ST	CELL IMPACT -B-	0
CLA-B.ST	CLOETTA -B-	0
CLAS-B.ST	Clas Ohlson AB	0
CLASB.ST	Clas Ohlson Ab	0
CLHO.ST	CARL LAMM HLDGN	0
CLS-B.ST	CLINICAL LASER -B-	0
CNTA.ST	Connecta AB	0
COA.ST	Coastal Contacts Inc.	0
COIL-BTA.ST	SVENSKA CAP I08	0
COIL.ST	SVENSKA CAPITAL OIL	0
CONP-A.ST	CONPHARM -A-	0
CONP-B.ST	CONPHARM -B-	0
CONPA.ST	CONPHARM -A-	0
CONPB.ST	CONPHARM -B-	0
CONS-B.ST	Consilium AB	0
CONSB.ST	Consilium AB	0
COOL-B.ST	COOLGUARD -B-	0
CPNT.ST	CELLPOINT CONNECT	0
CRAD-B.ST	C-RAD -B-	0
CRED-A.ST	CREADES -A-	0
CSN.ST	Cision AB	0
CTEC.ST	ChronTech Pharma AB	0
CTT.ST	Ctt Systems	0
CYBE.ST	Cybercom Group Europe Ab	0
CZON-B.ST	Cryptzone Group AB	0
CZON-BTA-B.ST	CRYPTZONE -B- I08	0
DAG.ST	Dagon AB	0
DEFL-B.ST	DEFLAMO -B-	0
DEVI.ST	DEVICOM	0
DGC.ST	DGCONE	0
DIAH.ST	DIADROM HOLDING	0
DIAM-B.ST	Diamyd Medical AB	0
DIAMB.ST	Diamyd Medical AB	0
DIBS.ST	DIBS PAYMENT SERV	0
DIN.ST	Din Bostad Sverige AB	0
DIOS.ST	Dios Fastigheter AB	0
DNET.ST	DO NETWORKS SVERIGE	0
DONE.ST	DONE MGT AND SYST A	0
DORO.ST	Doro AB	0
DRIL.ST	Drillcon AB	0
DUNI.ST	Duni AB	0
DURC-B.ST	Duroc AB	0
DURCB.ST	Duroc AB	0
DV-BTA-1.ST	DIGITAL VISIO I09/1	0
DV.ST	Digital Vision AB	0
ECEX.ST	EAST CAPITAL EXPLOR	0
ECO-B.ST	ECORUB -B-	0
EDIC-B.ST	EDI COMP	0
EFFN.ST	Effnet Holding AB	0
EKTA-B.ST	Elekta AB	0
EKTAB.ST	Elekta AB	0
ELAN-B.ST	Elanders AB	0
ELAN-BTA-B.ST	ELANDERS -B- I07	0
ELANB.ST	Elanders AB	0
ELEC.ST	Electra Gruppen AB	0
ELGR-B.ST	Elektronik Gruppen AB	0
ELN.ST	ELLEN	0
ELOS-B.ST	Elos AB	0
ELU4B-200SWE.ST	ELUXB/SWEDBK WTS 14	0
ELU4K-185SWE.ST	ELUXB/SWEDBK WTS 14	0
ELUX-A.ST	Electrolux AB	0
ELUX-B.ST	Electrolux AB	0
ELUXA.ST	ELECTROLUX -A-	0
ELUXB.ST	Electrolux AB	0
ELV.ST	ELVERKET VALLENTUNA	0
EMP-B.ST	Empire AB	0
EMTR.ST	Emitor Holding AB	0
ENDO.ST	ENDOMINES	0
ENEA.ST	Enea Ab	0
ENJO-B.ST	ENJOY GROUP -B-	0
ENRO.ST	Eniro AB	0
ENT-B.ST	ENTRACTION HOLD -B-	0
EOLU-B.ST	EOLUS VIND -B-	0
EOS.ST	ENERGYO SOL RUSSIA	0
EPCT.ST	EpiCept Corp	0
EPIS-B.ST	EPISURF MEDICAL -B-	0
ERI4K-115SWE.ST	ERICB/SWEDBK WTS 14	0
ERIC-A.ST	Ericsson Telephone Company	0
ERIC-B.ST	Ericsson Telephone Company	0
EUCI.ST	EUROCINE VACCINES	0
EURI-B.ST	EUR INST SCIENCE-B-	0
EURI-BTA-B.ST	EU INST SCIEN B	0
EURI-TR-B.ST	EU INST SCIEN RTS12	0
EURO.ST	EUROCON CONSULTING	0
EVIP-A.ST	EUROVIP GROUP -A-	0
EVIP-B.ST	EUROVIP GROUP -B-	0
EXPAB.ST	Lammhults Design Group AB	0
FABG.ST	Fabege AB	0
FAG.ST	Fagerhult AB	0
FATV-BTA.ST	FASTTV NET I07	0
FATV.ST	FASTTV NET	0
FEEL.ST	Feelgood Svenska Ab	0
FHEM-B.ST	FORSHEM GROUP -B-	0
FING-B.ST	Fingerprint Cards AB	0
FINGB.ST	Fingerprint Cards AB	0
FINM-B.ST	FINMETRON -B-	0
FIRE.ST	FIREFLY	0
FIX-B.ST	Fenix Outdoor AB	0
FIXB.ST	Fenix Outdoor Ab	0
FOHF-B.ST	FORSSTROM H.FR. -B-	0
FOHFB.ST	FORSSTROM H.FR. -B-	0
FOLL.ST	FOLLOWIT HOLDING	0
FORE-B.ST	Forestlight Studio AB	0
FPAR.ST	Fast Partner Ab	0
FPIP.ST	FormPipe Software AB	0
FRAG-B.ST	FRAGUS GROUP -B-	0
FROO.ST	Frontline	0
FUND-TR.ST	FUNDIOR RTS 12	0
FUND.ST	FUNDIOR	0
G5EN.ST	G5 ENTERTAINMENT	0
GENI.ST	GENERIC SWEDEN	0
GENL.ST	GENLINE HLDGN	0
GENO.ST	GENOVIS	0
GET4K-280SWE.ST	GTN/SWEDBK WTS 14	0
GETI-B.ST	Getinge AB	0
GETIB.ST	Getinge AB	0
GFUN.ST	GLOBALFUN	0
GGF.ST	GLOB GAMING FACT X	0
GHP.ST	GLOB HEALTH PARTNER	0
GHUS-B.ST	GOTENEHUS GROUP -B-	0
GIFT.ST	GIFTTODAY	0
GIM.ST	GETUPDATED INT MKT	0
GJAB.ST	GULLBERG & JANS	0
GJFO.ST	GJENSIDIGE FORSIKRI	0
GOGLO.ST	Golden Ocean Group Limited	0
GULD.ST	GULD INVEST NORDEN	0
GUNN.ST	Gunnebo AB	0
GVKO-B.ST	Geveko AB	0
GVKOB.ST	Geveko AB	0
H1-B.ST	H1 COMMUNICATIO -B-	0
HAKN.ST	Hakon Invest AB	0
HAM-B.ST	Hammar Invest AB	0
HAV-B.ST	Havsfrun AB	0
HAVB.ST	Havsfrun Investment AB	0
HBY-B.ST	HAMMARBY BANDY -B-	0
HEBA-B.ST	FAST. HEBA-B-	0
HEBAB.ST	HEBA Fastighets AB	0
HEDS.ST	HEDSON TECH INTERNA	0
HEMX.ST	Hemtex AB	0
HEXA-B.ST	Hexagon AB	0
HEXAB.ST	Hexagon AB	0
HIFA-B.ST	Hifab Group AB	0
HIQ.ST	HiQ International AB	0
HL-B.ST	HL Display AB	0
HLB.ST	HL Display AB	0
HLDX.ST	Haldex Group AB	0
HM-B.ST	HENNES&MAURITZ -B-	0
HMB.ST	Hennes & Mauritz AB	0
HMB3H-260SWE.ST	HMB/SWEDBK WTS 13	0
HMB3H-300SWE.ST	HMB/SWEDBK WTS 13	0
HMED.ST	HANSA MEDICAL	0
HMS.ST	HMS Networks AB	0
HOB-B.ST	HEART OF BRANDS -B-	0
HOGA-B.ST	Hoganas AB	0
HOGAB.ST	Hoganas	0
HOLM-A.ST	Holmen AB	0
HOLM-B.ST	Holmen AB	0
HOLMA.ST	HOLMEN -A-	0
HOLMB.ST	Holmen Ab	0
HOME-B.ST	HOMEMAID -B-	0
HOPR.ST	Home Properties AB	0
HPOL-B.ST	Hexpol AB	0
HQ.ST	HQ AB	0
HUFV-A.ST	Hufvudstaden AB	0
HUFV-C.ST	Hufvudstaden AB	0
HUFVA.ST	Hufvudstaden Ab	0
HUMA.ST	Human Care HC Ab	0
HUSQ-A.ST	Husqvarna AB	0
HUSQ-B.ST	Husqvarna AB	0
IBS-B.ST	IBS AB	0
IBSB.ST	IBS AB	0
ICAP.ST	ICT NORD FASTIG	0
ICM.ST	ICM KUNGSHOLM	0
ICTA-B.ST	Intellecta AB	0
IDL-B.ST	IDL Biotech AB	0
IFS-A.ST	Industrial & Financial Systems AB	0
IFS-B.ST	Industrial & Financial Systems AB	0
IFSA.ST	INDUSTRIAL AND FINANCIAL SYSTEMS IFS AB	0
IFSB.ST	Industrial & Financial Sy	0
IJ.ST	Intrum Justitia AB	0
IMPC.ST	Impact Coatings AB	0
IMSG.ST	INTL MARK & SALES	0
INDT.ST	Indutrade Ab	0
INDU-A.ST	IND.VAERDEN -A-	0
INDU-C.ST	IND.VAERDEN -C-	0
INDUA.ST	Industrivarden	0
INDUC.ST	INDUSTRIVAERDEN AB	0
INPH.ST	INNATE PHARMACEUTIC	0
INRS-B.ST	INRIS MOBILE -B-	0
INTO-B.ST	Intoi AB	0
INTS.ST	INTIUS	0
INVE-A.ST	Investor AB	0
INVE-B.ST	Investor AB	0
INVEA.ST	INVESTOR -A-	0
INVEB.ST	Investor AB	0
IPL.ST	INSPLANET	0
ITAB-B.ST	ITAB Shop Concept AB	0
JEEV.ST	Jeeves Informations System	0
JELL.ST	JELLO	0
JLT.ST	Jlt Mobile Computers Ab	0
JM.ST	JM AB	0
KABE-B.ST	KABE Husvagnar AB	0
KABEB.ST	Kabe Husvagnar	0
KAHL-IL.ST	KAPPAHL HLDG RED.	0
KAHL.ST	KappAhl Holding AB	0
KAN-TR.ST	KANCERA RTS 12	0
KARO.ST	Karo Bio AB	0
KDEV.ST	KAROL DEVEL -B-	0
