AAK.ST|AarhusKarlshamn AB
GHP.ST	GLOB HEALTH PARTNER
HOME-B.ST	HOMEMAID -B-
BVT.ST	Biovitrum AB
HQ.ST	HQ AB
ELAN-B.ST	Elanders AB
LUND-B.ST	Lundbergforetagen
SKIS-B.ST	Skistar
ALPH.ST	ALPHAHELIX MOLE DIA
SCIR-B.ST	SCIROCCO -B-
KWALB.ST	KINDWALLS BIL -B-
MVIR-B.ST	Medivir AB
PDXE.ST	Paradox Entertainment AB
OFAB.ST	ONSKEFOTO
TICK.ST	Ticket Travel Group AB
VICP.ST	VICTORIA PARK
TRAT-B.ST	TRACTECHNOLOGY -B-
AVON.ST	AVONOVA SVERIGE
ORC.ST	ORC Software AB
VNV.ST	VITA NOVA VENTURES
WESC.ST	WESC
RTIM-B.ST	Rorvik Timber Ab
ATEL.ST	ALLTELE ALLM SVENSK
DIOS.ST	Dios Fastigheter AB
FPAR.ST	Fast Partner Ab
SVIK.ST	Studsvik AB
BIO1-B.ST	BIOMETRON -B-
CEVI.ST	CELLAVISION
POOL-B.ST	Poolia AB
AGIS.ST	AGELLIS GROUP
INDT.ST	Indutrade Ab
DUNI.ST	DUNI
25318.ST	Dacke Group Nordic AB
EMP-B.ST	EMPIRE
SVOL-B.ST	Svolder AB
FRAG-B.ST	FRAGUS GROUP -B-
DURC-B.ST	Duroc AB
LJGR-B.ST	Atrium Ljungberg AB
LAGR-B.ST	Lagercrantz Group AB
INRS-B.ST	INRIS MOBILE -B-
ORTI-B.ST	Ortivus AB
SRAB-B.ST	SRAB SHIP B
CZON-BTA-B.ST	CRYPTZONE -B- I08
TRAC-B.ST	Traction AB
G5EN.ST	G5 ENTERTAINMENT
SWEC-B.ST	SWECO -B-
NOVU.ST	NOVUS GROUP INTL
GENO.ST	GENOVIS
CLA-B.ST	CLOETTA -B-
49033.ST	DANNEMORA MINER -B-
SECO-B.ST	Seco Tools AB
LATO-B.ST	Investment Ab Latour
ACAD-B.ST	AcadeMedia AB
SIR.ST	Svensk Internetrekrytering AB
DONE.ST	DONE MGT AND SYST A
MIR.ST	MIRIS HOLDING
PACT.ST	Proact It Group AB
NOVE.ST	Novestra AB
COIL-BTA.ST	SVENSKA CAP I08
SAGA-PREF.ST	SAGAX
BRIO-B.ST	Brio AB
AVEG-B.ST	AVEGA GROUP -B-
CTT.ST	Ctt Systems
HMS.ST	HMS NETWORKS
ACAP-B.ST	ACAP INVEST -B-
PROB.ST	Probi Ab
VBG-B.ST	VBG AB
STRI-B.ST	1-618 STRICT -B-
HOPR.ST	Home Properties AB
VARY.ST	Varyag Resources AB
MELK.ST	Melker Schorling AB
KLIC-B.ST	KLICK DATA -B-
ULYS.ST	ULYSS
RCLN-B.ST	RAYCLINIC -B-
WCSI.ST	WORLD CLASS INT
VITR.ST	Vitrolife AB
VALU.ST	VALUETREE HLDNGS
NEXU.ST	Technology Nexus AB
24H.ST	24H MOVIES SWEDEN
REJL-B.ST	Rejlerkoncernen AB
NVP.ST	NEUROVIVE PHARMA
STE-A.ST	STORA ENSO -A-
SECT-B.ST	Sectra AB
DEVI.ST	DEVICOM
DGC.ST	DGCONE
CRAD-B.ST	C-RAD -B-
SINT.ST	Sintercast AB
COOL-B.ST	COOLGUARD -B-
ODENB.ST	ODEN CONTROL -B-
TP.ST	Travelpartner AB
BONG.ST	Bong Ljungdahl AB
PHON.ST	Phonera AB
BRIN-B.ST	Brinova Fastigheter AB
MPEN.ST	MEDICPEN
IDL-B.ST	IDL BIOTECH -B-
IPL.ST	Insplanet AB
MEKO.ST	MEKONOMEN
DORO.ST	Doro AB
BAHN-B.ST	BAHNHOF -B-
MEAB-B.ST	Malmbergs Elektriska
ALOK-B.ST	ALLOKTON -B-
DIBS.ST	DIBS PAYMENT SERV
ADDT-B.ST	Addtech AB
ICM.ST	ICM KUNGSHOLM
TRTI.ST	TRETTI
LEDS-B.ST	Ledstriernan
ALME.ST	ALBIN METALS
AMH2-B.ST	AMHULT 2 -B-
SBC.ST	SBC Sveriges BostadsrattsCentrum AB
NCAS-B.ST	NOVACAST -B-
HEDS.ST	HEDSON TECH INTERNA
NILG-B.ST	Nilorngruppen
2ENT.ST	2Entertain AB
MIDW-B.ST	Midway Holding
LUVA.ST	Avensia Innovation AB
DRIL.ST	Drillcon AB
LMED.ST	LinkMed AB
CONS-B.ST	Consilium AB
CONPB.ST	CONPHARM -B-
CLHO.ST	CARL LAMM HLDGN
RES-B.ST	RESURS CNC
HMED.ST	HANSA MEDICAL
HL-B.ST	HL Display AB
AUDV-B.ST	Audiodev Ab
SWOL-B.ST	Swedol AB
KABE-B.ST	Kabe Husvagnar
SYSR.ST	SYSTEMAIR
MAHL.ST	MAHLER INTERNATIONA
XCG-B.ST	XTRACOM CONSUL -B-
STRM-B.ST	STORMFAGELN -B-
ELV.ST	ELVERKET VALLENTUNA
TOWO.ST	TOWORK SVERIGE
SJR-B.ST	SKA JOUR & REKR -B-
DIAH.ST	DIADROM HOLDING
SAFE.ST	SAFE AT SEA
AQ.ST	AROS QUALITY GROUP
INPH.ST	INNATE PHARMACEUTIC
BTS-B.ST	Bts Groupe Ab
BEIA-B.ST	Beijer Alma AB
XRF-B.ST	XRF ANALYTICAL  -B-
XPON.ST	Xponcard Group Ab
WINT.ST	WEST INTERNATIONAL
ACOM.ST	A Com
55354.ST	TRYGGA HEM SKANDI
NCC-A.ST	NCC AB
FHEM-B.ST	FORSHEM GROUP -B-
ICTA-B.ST	Intellecta Ab
UTG.ST	UNL TRAVEL GROUP
ENJO-B.ST	ENJOY GROUP -B-
ADDV.ST	AddVise Inredning Skyddsven
ANNE.ST	ANNEHEM FASTIGHETER
3L.ST	3L SYSTEM
HAV-B.ST	Havsfrun Investment AB
NTEK-B.ST	Novotek AB
DEFL-B.ST	DEFLAMO -B-
BRG-B.ST	Bergs Timber AB
GENI.ST	GENERIC SWEDEN
EURO.ST	EUROCON CONSULTING
CHER-B.ST	CHERRYFORETAGEN -B-
SAEK.ST	Saki
55332.ST	EWORK SCANDINAVIA
SVED-B.ST	Svedbergs i Dalstorp AB
ELGR-B.ST	Elektronik Gruppen AB
MROX-A.ST	MEDIROX -A-
LAMM-B.ST	Lammhults Design Group AB
WAFV-B.ST	Boras Wafveri AB
BEIJ-B.ST	Beijer G & L
SEZI.ST	SENZIME
ELEC.ST	Electra Gruppen AB
CAMP.ST	NCS NORDIC CAMPING
HEBA-B.ST	HEBA Fastighets AB
GFUN.ST	GLOBALFUN
BEIN-B.ST	BESTIN PREPACK -B-
STIL.ST	Stille AB
MSC-B.ST	MSC Konsult AB
SCRI-A.ST	Scribona AB
MEPR.ST	MEDIAPROVIDER SCA
TEL2-A.ST	TELE2 -A-
RBAB-B.ST	RELATION & BRAN -B-
CATE.ST	Catena AB
DIN.ST	Din Bostad Sverige AB
OEM-B.ST	OEM International AB
FIRE.ST	FIREFLY
ELOS-B.ST	Elos AB
BALD-B.ST	Fastighets AB Balder
NNH.ST	NEW NORD HEALTHBRAN
XANO-B.ST	Xano Industri
H1-B.ST	H1 COMMUNICATIO -B-
ITAB-B.ST	Itab Shop Concept AB
BELE.ST	Beijer Electronics AB
FIX-B.ST	Fenix Outdoor Ab
GENL.ST	GENLINE HLDGN
UFLX-B.ST	Uniflex AB
NAXS.ST	NAXS NORD ACCESS FD
SAGA.ST	AB Sagax
DAG.ST	Dagon AB
FAG.ST	Fagerhult AB
LOVI.ST	LOVISAGRUVAN
NOTE.ST	Note AB
JEEV.ST	Jeeves Informations System
NMAN.ST	NEDERMAN HOLDING
VIT-B.ST	VITEC SOFTWA GR -B-
FOHFB.ST	FORSSTROM H.FR. -B-
PROF-B.ST	Profil gruppen
VFS-B.ST	VARML FIN SVE -B-
MSON-A.ST	Midelfart Sonesson AB
47240.ST	INVISIO Headsets AB
GVKO-B.ST	Geveko AB
NON.ST	Netonnet Ab
RATO-A.ST	RATOS -A-
VINO.ST	VINOVO
ELUX-A.ST	ELECTROLUX -A-
HUMA.ST	Human Care HC Ab
LATO-A.ST	LATOUR INVEST -A-
LUXO-SDB.ST	Luxonen S.A.
WJET.ST	WATER JET SWEDEN
HBY-B.ST	HAMMARBY BANDY -B-
ACAP-A.ST	ACAP Invest AB
HOLM-A.ST	HOLMEN -A-
MTG-A.ST	MODERN TIMES GR -A-
SKMO.ST	Skane Mollan
ORTI-A.ST	ORTIVUS -A-
IFS-A.ST	IFS -A-
HUFV-C.ST	HUFVUDSTADEN -C-
RTIMB.ST	Rorvik Timber Ab
ATCOB.ST	ATLAS COPCO -B-
MSCB.ST	MSC Konsult AB
STER.ST	STORA ENSO OYJ
HOGAB.ST	Hoganas
SVEDB.ST	Svedbergs i Dalstorp AB
SEBA.ST	S E Banken
TEL2B.ST	Tele2 Ab
CFAB.ST	Fazer Konfektyr Service AB
SCAB.ST	SCA Sv Cellulosa
INDUA.ST	Industrivarden
INVEB.ST	Investor AB
EXPAB.ST	Lammhults Design Group AB
MEKOB.ST	Mekonomen AB
TRACB.ST	Traction AB
PIL-BTA1-B.ST	PILUM -B- I08
BETS-IL-B.ST	BETSSON -B- RED
ORTIB.ST	Ortivus AB
STEA.ST	STORA ENSO OYJ
NEO-IL-2.ST	NEONET -B- RED.08/2
NEO-IL-1.ST	NEONET -B- RED 08/1
RATOB.ST	Ratos AB
CONSB.ST	Consilium AB
WALLB.ST	Wallenstam Byggn
PREVB.ST	Prevas AB
AUDVB.ST	Audiodev Ab
KAHL-IL.ST	KAPPAHL HLDG RED.
PROEB.ST	Proffice AB
HLB.ST	HL Display AB
KLED-IL.ST	KUNGSLEDEN RED.
NILGB.ST	Nilorngruppen
FATV-BTA.ST	FASTTV NET I07
POOLB.ST	Poolia AB
BROB.ST	Brostrom AB
SIGMB.ST	Sigma Ab
IBSB.ST	IBS AB
EVIP-A.ST	EUROVIP GROUP -A-
41065.ST	EOS RUSSIA I07
HEBAB.ST	HEBA Fastighets AB
NETIB.ST	Net Insight AB
40331.ST	MUNTERS RED. 07
HAVB.ST	Havsfrun Investment AB
SCV-IL-A.ST	SCANIA -A- RED.08
SCV-IL-B.ST	SCANIA -B- RED 08
VOLVB.ST	Volvo AB
SKFB.ST	SKF AB
SECOB.ST	Seco Tools AB
DURCB.ST	Duroc AB
ELAN-BTA-B.ST	ELANDERS -B- I07
TELCB.ST	Teleca Ab
EKTAB.ST	Elekta AB
KRKB.ST	STAVRULLEN -B-
STAV-B.ST	STAVRULLEN FINA -B-
RSOFB.ST	ReadSoft AB
HEXAB.ST	Hexagon AB
TRELB.ST	Trelleborg AB
ARTIB.ST	Artimplant AB
GETIB.ST	Getinge AB
MTGA.ST	MODERN TIMES GROUP AB
LAGRB.ST	Lagercrantz Group AB
THALB.ST	Hifab Group AB
VBGB.ST	VBG AB
NEWAB.ST	New Wave Group AB
SKAB.ST	Skanska AB
BRIOB.ST	Brio AB
ACAPB.ST	ACAP INVEST -B-
SCRIB.ST	SCRIBONA -B-
MVIRB.ST	Medivir AB
FIXB.ST	Fenix Outdoor Ab
BEIAB.ST	Beijer Alma AB
RAYB.ST	RaySearch Laboratories AB
899736.ST	Fortum Corporation
MEABB.ST	Malmbergs Elektriska
NNB.ST	Nordnet Ab
LEDSB.ST	Ledstriernan
DIAMB.ST	Diamyd Medical AB
GVKOB.ST	Geveko AB
OEMB.ST	OEM International AB
ASSAB.ST	Assa Abloy AB
HMB.ST	Hennes & Mauritz AB
SECUB.ST	Securitas AB
BILIA.ST	Bilia AB
PRICB.ST	Pricer AB
NCCB.ST	NCC -B-
MEDAA.ST	Meda AB
LUNDB.ST	Lundbergforetagen
ADDTB.ST	Addtech AB
KABEB.ST	Kabe Husvagnar
FINGB.ST	Fingerprint Cards AB
IFSB.ST	Industrial & Financial Sy
BERGB.ST	B&B TOOLS AB
WEDB.ST	Venue Retail Group AB
SHBA.ST	Svenska Handelsbanken AB
LJGRB.ST	Atrium Ljungberg AB
SECTB.ST	Sectra AB
WAFVB.ST	Boras Wafveri AB
SKISB.ST	Skistar
NTEKB.ST	Novotek AB
ACADB.ST	AcadeMedia AB
NIBEB.ST	Nibe AB
MIDWB.ST	Midway Holding
HUFVA.ST	Hufvudstaden Ab
NOCMB.ST	Intoi AB
AFFSB.ST	Affarsstrategerna
ANGPB.ST	AF AB
CLASB.ST	Clas Ohlson Ab
PEABB.ST	PEAB AB
HOLMB.ST	Holmen Ab
SOFB.ST	Softronic AB
SWECB.ST	SWECO -B-
BIOGB.ST	Biogaia Ab
PROFB.ST	Profil gruppen
WESTB.ST	Elos AB
SAABB.ST	Saab AB
ELUXB.ST	Electrolux AB
SVOLB.ST	Svolder AB
NOLAB.ST	Nolato AB
LATOB.ST	Investment Ab Latour
ELANB.ST	Elanders AB
VITB.ST	VITEC I UMEA -B-
CCORB.ST	Concordia Maritime AB
SAND.ST	Sandvik AB
ABB.ST	ABB Ltd.
SWMA.ST	Swedish Match AB
AZN.ST	AstraZeneca
NOK1V.ST	Nokia Oyj
ORI-SDB.ST	Oriflame Cosmetics S.A
OLDM.ST	Old Mutual Plc
EFFN.ST	Effnet Holding AB
OXGN.ST	Oxigene
ERIC-A.ST	ERICSSON -A-
PSI-SEK.ST	PSI Group ASA
KINV-A.ST	KINNEVIK INV. -A-
LLSW-B.ST	LIGHTLAB SWEDEN -B-
PFE.ST	Pfizer
CONPA.ST	CONPHARM -A-
62622.ST	VOST NAFT SDR I09/2
SWECA.ST	Sweco AB
SVOLA.ST	SVOLDER -A-
LWSN.ST	Lawson Software Inc
IFSA.ST	INDUSTRIAL AND FINANCIAL SYSTEMS IFS AB
INVEA.ST	INVESTOR -A-
RNBS-BTA.ST	RNB RET&BRA I08
ATCOA.ST	Atlas Copco AB
SCAA.ST	SVENSKA CELLULOSA SCA AB
SSABB.ST	SSAB SWEDISH STEEL
INDUC.ST	INDUSTRIVAERDEN AB
SCRIA.ST	Scribona AB
NCCA.ST	NCC AB
SHBB.ST	SVENSKA HANDELSBANKEN AB
ELUXA.ST	ELECTROLUX -A-
LATOA.ST	LATOUR INVESTMENT AB
VOLVA.ST	VOLVO -A-
SCVA.ST	SCANIA -A-
SKFA.ST	SVENSKA KULLAGERFABRIKEN SKF AB
37341.ST	DIGITAL VIS RTS 09
SEBC.ST	SKANDINAVISKA ENSKILDA BANKEN
DV-BTA-1.ST	DIGITAL VISIO I09/1
MTGB.ST	MTG (Modern Times Group)
HOLMA.ST	HOLMEN -A-
TEL2A.ST	TELE2 -A-
62893.ST	KOPPARBG MIN RTS09
RATOA.ST	RATOS -A-
585671.ST	Vostok Gas Ltd.
