AAK.ST|AarhusKarlshamn AB
89293.ST|WILH. WILH HOLD -A-
HMB3H-300SWE.ST|HMB/SWEDBK WTS 13
PART.ST|PartnerTech AB
PACT.ST|Proact IT Group AB
VNIL-SDB.ST|Vostok Nafta Investment Ltd.
WNT-TR.ST|WNTRESEARCH RTS13
SVIK.ST|Studsvik AB
RABT-B.ST|Rederi AB Transatlantic
MMG.ST|MOBICARD MEDIA
BRE2.ST|BREDBAND2 I SKANDI
BORE.ST|Bore Tech AB
EKTA-B.ST|Elekta AB
ODEN.ST|ODEN CONTROL
NDIQ.ST|NORDIQ GOTEBORG
LUPE.ST|Lundin Petroleum AB
FUND-TR.ST|FUNDIOR RTS 12
BIAP-BTA-A.ST|BIOSENSOR -A- I13
89296.ST|PSI GROUP
SERS-B.ST|SWEDE RESOURCES -B-
SUBCO.ST|SUBSEA 7
MPEN.ST|MEDICPEN
POOL-B.ST|Poolia AB
RATO-A.ST|Ratos AB
AZA.ST|Avanza AB
SOGH.ST|SELENA OIL & GAS
G5EN.ST|G5 ENTERTAINMENT
MSC-B.ST|MSC Konsult AB
VOLV-A.ST|Volvo Corporation
COA.ST|Coastal Contacts Inc.
TEL2-A.ST|Tele2 AB
PXXS-SDB.ST|BlackPearl Resources, Inc.
SWED-A.ST|Swedbank AB
KINV-B.ST|KINNEVIK INV. -B-
AZN.ST|AstraZeneca PLC
88870.ST|NORSE ENERGY CORP
SEB-C.ST|Skandinaviska Enskilda Banken AB
NOKI-SEK.ST|Nokia Oyj
RECO.ST|Renewable Energy Corporation ASA
88883.ST|OCEANTEAM SHIPPING
TELO.ST|Telenor ASA
BORG-IL.ST|BJORN BO RED PFD
ELUX-B.ST|Electrolux AB
88902.ST|SIEM OFFSHORE
MICR.ST|Micronic Mydata AB
IJ.ST|Intrum Justitia AB
PIL-B-BTA.ST|PILUM -B- I12
RSOF-B.ST|ReadSoft AB
SEAM-BTA.ST|SEAMLESS DISTR I12
ATCO-A.ST|Atlas Copco AB
88907.ST|SPBK 1 SR-BANK
AUH.ST|AU HOLDING
SCV-A.ST|Scania AB
ALPA.ST|Alpcot Agro AB
QFRO.ST|Q-FREE
RAY-B.ST|RaySearch Laboratories AB
NSGO.ST|Norske Skogindustrier ASA
FROO.ST|Frontline, Ltd.
OASM.ST|Oasmia Pharmaceutical AB
ELV.ST|ELVERKET VALLENTUNA
HAM-B.ST|Hammar Invest AB
ODD.ST|Odd Molly International AB
ARTI-B.ST|Artimplant AB
GOGLO.ST|Golden Ocean Group Limited
ERIC-A.ST|Ericsson Telephone Company
PDXE.ST|Paradox Entertainment AB
XANO-B.ST|XANO Industri AB

===============================================
SCV-B.ST|Scania AB
RABT-B.ST|Rederi AB Transatlantic
NCC-B.ST|NCC AB
INVE-B.ST|Investor AB
ERIC-B.ST|Ericsson Telephone Company
ZZ-B.ST|Zinzino Holding AB
PROF-B.ST|ProfilGruppen AB
SMAQ-B.ST|SMARTEQ -B-
EPIS-B.ST|EPISURF MEDICAL -B-
CZON-B.ST|Cryptzone Group AB
CEFO-TR-B.ST|CEFOUR RTS 12/B
FINM-B.ST|FINMETRON -B-
HEXA-B.ST|Hexagon AB
EURI-BTA-B.ST|EU INST SCIEN B I12
CLA-B.ST|Cloetta AB
H1-B.ST|H1 COMMUNICATIO -B-
PREV-B.ST|Prevas AB
ACAN-B.ST|Acando AB
FIX-B.ST|Fenix Outdoor AB
AERO-B.ST|Aerocrine AB
CLS-B.ST|CLINICAL LASER -B-
CHER-B.ST|Cherryforetagen AB
NOLA-B.ST|Nolato AB
BRG-B.ST|Bergs Timber AB
SSAB-B.ST|SSAB Corp
EURI-B.ST|EUR INST SCIENCE-B-
IFS-B.ST|Industrial & Financial Systems AB
DURC-B.ST|Duroc AB
THK-TR-B.ST|T&K FOND RTS 13/B
PAR-TR-B.ST|PA RES RTS 13/B
NIBE-B.ST|NIBE IND.-B-
HOGA-B.ST|Hoganas AB
KABE-B.ST|KABE Husvagnar AB
VRG-B.ST|Venue Retail Group AB
CEFO-B.ST|CEFOUR -B-
FORE-B.ST|Forestlight Studio AB
RURI-B.ST|RURIC -B-
ELAN-B.ST|Elanders AB
ORTI-B.ST|Ortivus AB
LJGR-B.ST|ATRIUM LJUNGB.-B-
CEFO-BTA-B.ST|CEFOUR -B- I12
SWOL-B.ST|Swedol AB
ARCH-B.ST|ARCHELON MINERA -B-
PROE-B.ST|Proffice AB
UFLX-B.ST|Uniflex AB
TRAN-B.ST|TRANSFERATOR -B-
EKTA-B.ST|Elekta AB
SERS-B.ST|SWEDE RESOURCES -B-
POOL-B.ST|Poolia AB
MSC-B.ST|MSC Konsult AB
KINV-B.ST|KINNEVIK INV. -B-
ELUX-B.ST|Electrolux AB
RSOF-B.ST|ReadSoft AB
RAY-B.ST|RaySearch Laboratories AB
HAM-B.ST|Hammar Invest AB
ARTI-B.ST|Artimplant AB
XANO-B.ST|XANO Industri AB
REHA-B.ST|REHACT -B-
KMIN-B.ST|Kopparberg Mineral AB
NN-B.ST|Nordnet AB
MEAB-B.ST|Malmbergs Elektriska AB
BAHN-B.ST|BAHNHOF -B-
BALD-B.ST|Fastighets AB Balder
OEM-B.ST|OEM International AB
AVT-B.ST|AVITECH SWE-B-
NETI-B.ST|Net Insight AB
SOF-B.ST|Softronic AB
ELOS-B.ST|Elos AB
ASSA-B.ST|Assa Abloy AB
AF-B.ST|AF AB
SIGM-B.ST|Sigma AB
TAUR-B.ST|Taurus Energy AB
LAGR-B.ST|Lagercrantz Group AB
MIDW-B.ST|Midway Holding AB
HUSQ-B.ST|Husqvarna AB
PRCO-B.ST|PRECIO SYS -B-
SVOL-B.ST|Svolder AB
BEIJ-B.ST|G & L Beijer AB
AVEG-B.ST|AVEGA GROUP -B-
ITAB-B.ST|ITAB Shop Concept AB
TAGM-B.ST|TAGMASTER -B-
GVKO-B.ST|Geveko AB
SHEL-B.ST|SHELTON PETROL -B-
CHAL-B.ST|Challenger Mobile AB
HOME-B.ST|HOMEMAID -B-
CCOR-B.ST|Concordia Maritime AB
